"date","state","county","city","facility_name","facility_type_state","ctp_facility_category","state_fed_regulated","state_facility_id","facility_cms_id","date_outbreak_opened","date_outreak_closed","outbreak_status","resident_census","resident_positives","resident_probable","resident_deaths","resident_probable_deaths","staff_positive","staff_probable","staff_deaths","staff_probable_deaths","resident_staff_positives","resident_staff_probable_positives","resident_staff_deaths","resident_staff_probable_deaths","outbreak_resident_positives","outbreak_resident_probable","outbreak_resident_deaths","outbreak_resident_probable_deaths","outbreak_staff_positive","outbreak_staff_probable","outbreak_staff_deaths","outbreak_staff_probable_deaths","outbreak_resident_staff_positives","outbreak_resident_staff_probable_positives","outbreak_resident_staff_deaths","outbreak_resident_staff_probable_deaths","outbreak_residents_tested","staff_tested","personal_protective_equipment"
20200528,"CT",,"Avon","Avon Health Center","Nursing Home","Nursing Home","Federal",,"75244",,,,"120","38",,"0","3",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Berlin","Ledgecrest Health Care","Nursing Home","Nursing Home","Federal",," ",,,,"60","33",,"5","1",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Bethel","Bethel Health Care Center","Nursing Home","Nursing Home","Federal",,"75400",,,,"161","59",,"8","5",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Bloomfield","Bloomfield Center for
Nursing and Rehabilitation","Nursing Home","Nursing Home","Federal",," ",,,,"120","46",,"10","9",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Bloomfield","Caleb Hitchcock Health
Center","Nursing Home","Nursing Home","Federal",," ",,,,"60","5",,"4","0",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Bloomfield","Seabury","Nursing Home","Nursing Home","Federal",," ",,,,"72","33",,"12","0",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Bloomfield","Touchpoints at Bloomfield","Nursing Home","Nursing Home","Federal",,"75264",,,,"150","70",,"16","2",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Branford","Branford Hills Health Care Center","Nursing Home","Nursing Home","Federal",,"75296",,,,"190","100",,"23","0",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Bridgeport","Jewish Senior Services","Nursing Home","Nursing Home","Federal",,"75353",,,,"294","87",,"14","2",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Bridgeport","Northbridge Healthcare
Center","Nursing Home","Nursing Home","Federal",," ",,,,"145","37",,"7","6",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Bridgeport","Springs at Watermark 3030
Park","Nursing Home","Nursing Home","Federal",," ",,,,"23","11",,"3","0",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Bristol","Countryside Manor of
Bristol","Nursing Home","Nursing Home","Federal",," ",,,,"90","62",,"20","2",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Bristol","Ingraham Manor","Nursing Home","Nursing Home","Federal",,"75329",,,,"128","7",,"0","1",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Bristol","Pines At Bristol Center for
Nursing & Rehabilitation","Nursing Home","Nursing Home","Federal",," ",,,,"132","35",,"3","0",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Bristol","Sheridan Woods Health
Care Center","Nursing Home","Nursing Home","Federal",," ",,,,"146","73",,"27","3",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Canaan","Geer Nursing And
Rehabilitation Center","Nursing Home","Nursing Home","Federal",," ",,,,"120","2",,"0","0",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Canton","Cherry Brook Health Care
Center","Nursing Home","Nursing Home","Federal",," ",,,,"100","57",,"17","5",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Cheshire","Cheshire Regional Rehab
Center","Nursing Home","Nursing Home","Federal",," ",,,,"85","2",,"0","0",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Cheshire","Elim Park Baptist Home","Nursing Home","Nursing Home","Federal",,"75265",,,,"90","39",,"10","2",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Chester","Aaron Manor Nursing and
Rehabilitation","Nursing Home","Nursing Home","Federal",," ",,,,"60","31",,"11","0",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Chester","Chesterfields Health Care
Center","Nursing Home","Nursing Home","Federal",," ",,,,"60","0",,"0","1",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Cromwell","Apple Rehab Cromwell","Nursing Home","Nursing Home","Federal",,"75380",,,,"85","30",,"6","2",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Cromwell","Autumn Lake Healthcare At
Cromwell","Nursing Home","Nursing Home","Federal",," ",,,,"175","74",,"5","6",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Danbury","Filosa Nursing &
Rehabilitation","Nursing Home","Nursing Home","Federal",," ",,,,"64","2",,"0","0",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Danbury","Glen Hill Center","Nursing Home","Nursing Home","Federal",,"75031",,,,"100","33",,"1","1",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Danbury","Hancock Hall","Nursing Home","Nursing Home","Federal",,"75414",,,,"96","1",,"1","0",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Danbury","Saint John Paul II Center","Nursing Home","Nursing Home","Federal",,"75354",,,,"141","87",,"32","2",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Danbury","Western Rehabilitation
Care Center","Nursing Home","Nursing Home","Federal",," ",,,,"120","49",,"12","6",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"East Haddam","Chestelm Health and
Rehabilitation Center","Nursing Home","Nursing Home","Federal",," ",,,,"76","1",,"0","0",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"East
Hartford","Riverside Health &
Rehabilitation Center","Nursing Home","Nursing Home","Federal",," ",,,,"345","121",,"38","19",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"East Haven","Apple Rehab Laurel Woods","Nursing Home","Nursing Home","Federal",,"75389",,,,"120","22",,"3","1",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"East Haven","Whispering Pines","Nursing Home","Nursing Home","Federal",," ",,,,"90","59",,"12","13",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"East Windsor","Fresh River Healthcare","Nursing Home","Nursing Home","Federal",,"75359",,,,"140","95",,"15","5",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Enfield","Parkway Pavilion Health
and Rehabilitation Center","Nursing Home","Nursing Home","Federal",," ",,,,"130","94",,"17","1",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Fairfield","Cambridge Health and
Rehabilitation Center","Nursing Home","Nursing Home","Federal",," ",,,,"160","58",,"14","8",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Fairfield","Carolton Chronic &
Convalescent Hospital","Nursing Home","Nursing Home","Federal",," ",,,,"229","84",,"26","3",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Fairfield","Ludlowe Center for Health
& Rehabilitation","Nursing Home","Nursing Home","Federal",," ",,,,"144","65",,"13","18",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Farmington","Amberwoods of
Farmington","Nursing Home","Nursing Home","Federal",," ",,,,"130","1",,"1","0",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Farmington","Touchpoints at Farmington","Nursing Home","Nursing Home","Federal",,"75251",,,,"105","84",,"17","2",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Glastonbury","Glastonbury Health Care Center","Nursing Home","Nursing Home","Federal",,"75316",,,,"105","50",,"21","7",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Glastonbury","Salmon Brook Rehab and
Nursing","Nursing Home","Nursing Home","Federal",," ",,,,"130","36",,"14","2",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Granby","Meadowbrook of Granby","Nursing Home","Nursing Home","Federal",,"75367",,,,"90","1",,"0","1",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Greenwich","Greenwich Woods","Nursing Home","Nursing Home","Federal",,"75309",,,,"217","35",,"7","3",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Greenwich","Nathaniel Witherall","Nursing Home","Nursing Home","Federal",," ",,,,"202","50",,"9","1",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Greenwich","RegalCare at Greenwich","Nursing Home","Nursing Home","Federal",,"75069",,,,"75","5",,"2","0",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Groton","Mystic Healthcare &
Rehabilitation Center","Nursing Home","Nursing Home","Federal",," ",,,,"100","53",,"9","7",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Guilford","Apple Rehab Guilford","Nursing Home","Nursing Home","Federal",,"75144",,,,"90","29",,"8","1",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Guilford","Guilford House","Nursing Home","Nursing Home","Federal",," ",,,,"75","1",,"0","0",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Hamden","Arden House","Nursing Home","Nursing Home","Federal",,"75228",,,,"360","170",,"28","1",,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Hamden","Hamden Rehabilitation &
Health Care Center","Nursing Home","Nursing Home","Federal",," ",,,,"153","55",,"17","1",,,,,,,,,,,,,,,,,,,,,,,
