"date","state","county","city","facility_name","facility_type_state","ctp_facility_category","state_fed_regulated","state_facility_id","facility_cms_id","date_outbreak_opened","date_outreak_closed","outbreak_status","resident_census","resident_positives","resident_probable","resident_deaths","resident_probable_deaths","staff_positive","staff_probable","staff_deaths","staff_probable_deaths","resident_staff_positives","resident_staff_probable_positives","resident_staff_deaths","resident_staff_probable_deaths","outbreak_resident_positives","outbreak_resident_probable","outbreak_resident_deaths","outbreak_resident_probable_deaths","outbreak_staff_positive","outbreak_staff_probable","outbreak_staff_deaths","outbreak_staff_probable_deaths","outbreak_resident_staff_positives","outbreak_resident_staff_probable_positives","outbreak_resident_staff_deaths","outbreak_resident_staff_probable_deaths","outbreak_residents_tested","staff_tested","personal_protective_equipment"
20200515,"DC",,,"BridgePoint Capitol Hill","Nursing Home","Nursing Home ","Federal",,"95027",,,,,"6",,"0",,"8",,"0",,,,,,,,,,,,,,,,,,,,
20200515,"DC",,,"BridgePoint National Harbor","Nursing Home","Nursing Home ","Federal",,"95024",,,,,"4",,"4",,"0",,"0",,,,,,,,,,,,,,,,,,,,
20200515,"DC",,,"Carroll Manor","Nursing Home","Nursing Home ","Federal",,"95034",,,,,"9",,"4",,"10",,"0",,,,,,,,,,,,,,,,,,,,
20200515,"DC",,,"Deanwood","Nursing Home","Nursing Home ","Federal",,"95019",,,,,"55",,"9",,"11",,"0",,,,,,,,,,,,,,,,,,,,
20200515,"DC",,,"Forest Hills","Nursing Home","Nursing Home ","Federal",,"95038",,,,,"1",,"0",,"1",,"0",,,,,,,,,,,,,,,,,,,,
20200515,"DC",,,"Ingleside","Nursing Home","Nursing Home ","Federal",,"95028",,,,,"4",,"3",,"1",,"0",,,,,,,,,,,,,,,,,,,,
20200515,"DC",,,"Inspire","Nursing Home","Nursing Home ","Federal",,"95031",,,,,"47",,"12",,"17",,"1",,,,,,,,,,,,,,,,,,,,
20200515,"DC",,,"Jeanne Jugan Little Sisters of the Poor","Nursing Home","Nursing Home ","Federal",,"9E020",,,,,"20",,"3",,"9",,"0",,,,,,,,,,,,,,,,,,,,
20200515,"DC",,,"Knollwood","Nursing Home","Nursing Home ","Federal",,"95026",,,,,"26",,"7",,"22",,"1",,,,,,,,,,,,,,,,,,,,
20200515,"DC",,,"Lisner Home","Nursing Home","Nursing Home ","Federal",,"95025",,,,,"42",,"9",,"9",,"0",,,,,,,,,,,,,,,,,,,,
