"date","state","county","city","facility_name","facility_type_state","ctp_facility_category","state_fed_regulated","state_facility_id","facility_cms_id","date_outbreak_opened","date_outreak_closed","outbreak_status","resident_census","resident_positives","resident_probable","resident_deaths","resident_probable_deaths","staff_positive","staff_probable","staff_deaths","staff_probable_deaths","resident_staff_positives","resident_staff_probable_positives","resident_staff_deaths","resident_staff_probable_deaths","outbreak_resident_positives","outbreak_resident_probable","outbreak_resident_deaths","outbreak_resident_probable_deaths","outbreak_staff_positive","outbreak_staff_probable","outbreak_staff_deaths","outbreak_staff_probable_deaths","outbreak_resident_staff_positives","outbreak_resident_staff_probable_positives","outbreak_resident_staff_deaths","outbreak_resident_staff_probable_deaths","outbreak_residents_tested","staff_tested","personal_protective_equipment"
20200515,"KY","Kenton County",,"ATRIA SUMMIT HILLS","Uncategorized LTC","Assisted Living Facility","State",,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,
20200515,"KY","Kenton County",,"Baptist Village Care Center","Uncategorized LTC","Assisted Living Facility","State",,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,
20200515,"KY","Ohio County",,"BEAVER DAM NURSING & REHAB CENTER, INC.","Uncategorized LTC","Nursing Home","Federal",,"185334",,,,,"1",,,,"1",,,,,,,,,,,,,,,,,,,,,,
20200515,"KY","Bullit County",,"BEDROCK AT GREEN MEADOWS","Uncategorized LTC","Nursing Home","Federal",,"185464",,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,
20200515,"KY","Jefferson County",,"BEEHIVE SMYRNA","Uncategorized LTC","Assisted Living Facility","State",,,,,,,"1",,,,"1",,,,,,,,,,,,,,,,,,,,,,
20200515,"KY","Boone County",,"BOONESPRING TRANSITIONAL CARE CENTER, LLC","Uncategorized LTC","Nursing Home","Federal",,"185486",,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,
20200515,"KY","Franklin County",,"BRADFORD SQUARE CENTER","Uncategorized LTC","Nursing Home","Federal",,"185170",,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,
20200515,"KY","Boone County",,"Bridge Point Center","Uncategorized LTC","Nursing Home","Federal",,"185090",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,
20200515,"KY","Marshall County",,"Calvert City Convalescent Center","Uncategorized LTC","Nursing Home","Federal",,"185234",,,,,"1",,"1",,,,,,,,,,,,,,,,,,,,,,,,
20200515,"KY","Boyle County",,"Charleston Health Care Campus","Uncategorized LTC","Assisted Living Facility","State",,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,
20200515,"KY","Warren County",,"Christian Care Communities","Uncategorized LTC","Assisted Living Facility","State",,,,,,,,,,,"3",,,,,,,,,,,,,,,,,,,,,,
20200515,"KY","Campbell County",,"Coldspring Transitional Care Center","Uncategorized LTC","Nursing Home","Federal",,"185476",,,,,"15",,"6",,"8",,,,,,,,,,,,,,,,,,,,,,
20200515,"KY","Jefferson County",,"CREEKSIDE LOUISVILLE BARDSTOWN RD.","Uncategorized LTC","Assisted Living Facility","State",,,,,,,"1",,"1",,,,,,,,,,,,,,,,,,,,,,,,
20200515,"KY","Logan County",,"CREEKWOOD NURSING & REHABILITATION","Uncategorized LTC","Nursing Home","Federal",,"185313",,,,,"44",,"2",,"8",,,,,,,,,,,,,,,,,,,,,,
20200515,"KY","Pulaski County",,"CRESTVIEW PERSONAL CARE HOME","Uncategorized LTC","Assisted Living Facility","State",,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,
20200515,"KY","Jefferson County",,"ESSEX NURSING AND REHABILITATION CENTER","Uncategorized LTC","Nursing Home","Federal",,"185288",,,,,"3",,"2",,,,,,,,,,,,,,,,,,,,,,,,
20200515,"KY","Russell County",,"FAIR OAKS HEALTH AND REHABILITATION","Uncategorized LTC","Nursing Home","Federal",,"185286",,,,,"5",,"4",,"2",,,,,,,,,,,,,,,,,,,,,,
20200515,"KY","Calloway County",,"FERN TERRACE OF MURRAY, LLC","Uncategorized LTC","Assisted Living Facility","State",,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,
20200515,"KY","Boone County",,"FLORENCE PARK CARE CENTER","Uncategorized LTC","Nursing Home","Federal",,"185174",,,,,"35",,"2",,"6",,,,,,,,,,,,,,,,,,,,,,
