"date","state","county","city","facility_name","facility_type_state","ctp_facility_category","state_fed_regulated","state_facility_id","facility_cms_id","date_outbreak_opened","date_outreak_closed","outbreak_status","resident_census","resident_positives","resident_probable","resident_deaths","resident_probable_deaths","staff_positive","staff_probable","staff_deaths","staff_probable_deaths","resident_staff_positives","resident_staff_probable_positives","resident_staff_deaths","resident_staff_probable_deaths","outbreak_resident_positives","outbreak_resident_probable","outbreak_resident_deaths","outbreak_resident_probable_deaths","outbreak_staff_positive","outbreak_staff_probable","outbreak_staff_deaths","outbreak_staff_probable_deaths","outbreak_resident_staff_positives","outbreak_resident_staff_probable_positives","outbreak_resident_staff_deaths","outbreak_resident_staff_probable_deaths","outbreak_residents_tested","staff_tested","personal_protective_equipment"
20200430,"MD","Montgomery",,"Arcola Health and Rehabilitation Center","Uncategorized LTC","Nursing Home","Federal",,"215014",,,,,,,,,,,,,,,,,"11",,"5",,"11",,"0",,,,,,,,
20200430,"MD","Baltimore City",,"Autumn Lake Healthcare at Bridgepark","Uncategorized LTC","Nursing Home","Federal",,"215195",,,,,,,,,,,,,,,,,"2",,"0",,"0",,"0",,,,,,,,
20200430,"MD","Prince George's",,"Autumn Lake Healthcare at Cherry Lane","Uncategorized LTC","Nursing Home","Federal",,"215177",,,,,,,,,,,,,,,,,"0",,"0",,"9",,"0",,,,,,,,
20200430,"MD","Montgomery",,"Autumn Lake Healthcare at Oakview","Uncategorized LTC","Nursing Home","Federal",,"215338",,,,,,,,,,,,,,,,,"39",,"4",,"4",,"0",,,,,,,,
20200430,"MD","Baltimore County",,"Autumn Lake Healthcare at Riverview","Uncategorized LTC","Nursing Home","Federal",,"215203",,,,,,,,,,,,,,,,,"1",,"0",,"1",,"0",,,,,,,,
20200430,"MD","Baltimore County",,"Autumn Lake Pikesville","Uncategorized LTC","Nursing Home","Federal",,"215082",,,,,,,,,,,,,,,,,"59",,"2",,"7",,"0",,,,,,,,
20200430,"MD","Frederick",,"Ballenger Creek - Genesis Healthcare","Uncategorized LTC","Nursing Home","Federal",,"215001",,,,,,,,,,,,,,,,,"84",,"11",,"39",,"0",,,,,,,,
20200430,"MD","Anne Arundel",,"Baywoods of Annapolis","Uncategorized LTC","Nursing Home","Federal",,"215345",,,,,,,,,,,,,,,,,"2",,"0",,"4",,"0",,,,,,,,
20200430,"MD","Montgomery",,"Bedford Court","Uncategorized LTC","Nursing Home","Federal",,"215246",,,,,,,,,,,,,,,,,"1",,"0",,"2",,"0",,,,,,,,
20200430,"MD","Harford",,"Bel Air Health and Rehabilitation Center","Uncategorized LTC","Nursing Home","Federal",,"215312",,,,,,,,,,,,,,,,,"20",,"2",,"9",,"0",,,,,,,,
20200430,"MD","Worcester",,"Berlin Nursing and Rehabilitation Center","Uncategorized LTC","Nursing Home","Federal",,"215126",,,,,,,,,,,,,,,,,"3",,"1",,"2",,"0",,,,,,,,
20200430,"MD","Montgomery",,"Bethesda Health and Rehab Center","Uncategorized LTC","Nursing Home","Federal",,"215187",,,,,,,,,,,,,,,,,"15",,"8",,"15",,"0",,,,,,,,
20200430,"MD","Prince George's",,"Bradford Oaks Center","Uncategorized LTC","Nursing Home","Federal",,"215165",,,,,,,,,,,,,,,,,"0",,"0",,"5",,"0",,,,,,,,
20200430,"MD","Montgomery",,"Brighton Gardens of Tuckerman Lane","Uncategorized LTC","Nursing Home","Federal",,"215320",,,,,,,,,,,,,,,,,"24",,"8",,"16",,"0",,,,,,,,
20200430,"MD","Montgomery",,"Brooke Grove Retirement Community","Uncategorized LTC","Nursing Home","Federal",,"215200",,,,,,,,,,,,,,,,,"27",,"2",,"15",,"0",,,,,,,,
20200430,"MD","Montgomery",,"Cadia Healthcare Wheaton","Uncategorized LTC","Nursing Home","Federal",,"215025",,,,,,,,,,,,,,,,,"13",,"2",,"4",,"0",,,,,,,,
