"date","state","county","city","facility_name","facility_type_state","ctp_facility_category","state_fed_regulated","state_facility_id","facility_cms_id","date_outbreak_opened","date_outreak_closed","outbreak_status","resident_census","resident_positives","resident_probable","resident_deaths","resident_probable_deaths","staff_positive","staff_probable","staff_deaths","staff_probable_deaths","resident_staff_positives","resident_staff_probable_positives","resident_staff_deaths","resident_staff_probable_deaths","outbreak_resident_positives","outbreak_resident_probable","outbreak_resident_deaths","outbreak_resident_probable_deaths","outbreak_staff_positive","outbreak_staff_probable","outbreak_staff_deaths","outbreak_staff_probable_deaths","outbreak_resident_staff_positives","outbreak_resident_staff_probable_positives","outbreak_resident_staff_deaths","outbreak_resident_staff_probable_deaths","outbreak_residents_tested","staff_tested","personal_protective_equipment","last_recorded","ctp_id"
20200601,"ND","RICHLAND","WAHPETON","BENEDICTINE LIVING CENTER","BASIC/ ASSISTED","ASSISTED LIVING","State",,,,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00023"
20200601,"ND","WARD","MINOT","ELM CROFT","ASSISTED LIVING FACILITY","ASSISTED LIVING","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00132"
20200601,"ND","CASS","FARGO","EVENTIDE ASSISTED LIVING","ASSISTED LIVING FACILITY","ASSISTED LIVING","State",," ",,,"OPEN",,,,,,,,,,,,,,"1",,,,"0",,,,,,,,,,,,"ND00137"
20200601,"ND","CASS","FARGO","GOOD SAMARITAN FARGO","BASIC / ASSISTED","ASSISTED LIVING","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"1",,,,,,,,,,,,"ND99901"
20200601,"ND","PIERCE","RUGBY","HAALAND MANOR","BASIC/ ASSISTED","ASSISTED LIVING","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"1",,,,,,,,,,,,"ND00573"
20200601,"ND","NEW ROCKFORD",,"LUTHERAN HOME GOOD SHEPARD, HERITAGE HOUSE","NURSING HOME","NURSING HOME","Federal",,"355041",,,"OPEN",,,,,,,,,,,,,,"2",,,,"1",,,,,,,,,,,,"ND01035"
20200601,"ND","GRAND FORKS",,"MAPLE VIEW MEMORY CARE GRAND FORKS","OTHER","OTHER","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00605"
20200601,"ND","WATFORD CITY",,"MCKENZIE COUNTY HEALTH LONG TERM CARE","OTHER","OTHER","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00625"
20200601,"ND","ROLLA",,"PARKVIEW ASSISTED LIVING","ASSISTED LIVING FACILITY","ASSISTED LIVING","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00310"
20200601,"ND","HILLSBORO",,"SANFORD HILLSBORO CARE CENTER","BASIC/ ASSISTED","ASSISTED LIVING","State",,"355061",,,"OPEN",,,,,,,,,,,,,,"1",,,,"0",,,,,,,,,,,,"ND00359"
20200604,"ND","RICHLAND","WAHPETON","BENEDICTINE LIVING CENTER","BASIC/ ASSISTED","ASSISTED LIVING","State",,,,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00023"
20200604,"ND","WARD","MINOT","ELM CROFT","ASSISTED LIVING FACILITY","ASSISTED LIVING","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00132"
20200604,"ND","CASS","FARGO","EVENTIDE ASSISTED LIVING","ASSISTED LIVING FACILITY","ASSISTED LIVING","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00137"
20200604,"ND","CASS","FARGO","GOOD SAMARITAN FARGO","BASIC / ASSISTED","ASSISTED LIVING","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND99901"
20200604,"ND","PIERCE","RUGBY","HAALAND MANOR","BASIC/ ASSISTED","ASSISTED LIVING","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"1",,,,,,,,,,,,"ND00573"
20200604,"ND","NEW ROCKFORD",,"LUTHERAN HOME GOOD SHEPARD, HERITAGE HOUSE","NURSING HOME","NURSING HOME","Federal",,"355041",,,"OPEN",,,,,,,,,,,,,,"0",,,,"1",,,,,,,,,,,,"ND01035"
20200604,"ND","GRAND FORKS",,"MAPLE VIEW MEMORY CARE GRAND FORKS","OTHER","OTHER","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00605"
20200604,"ND","WATFORD CITY",,"MCKENZIE COUNTY HEALTH LONG TERM CARE","OTHER","OTHER","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00625"
20200604,"ND","ROLLA",,"PARKVIEW ASSISTED LIVING","ASSISTED LIVING FACILITY","ASSISTED LIVING","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00310"
20200604,"ND","HILLSBORO",,"SANFORD HILLSBORO CARE CENTER","BASIC/ ASSISTED","ASSISTED LIVING","State",,"355061",,,"OPEN",,,,,,,,,,,,,,"1",,,,"0",,,,,,,,,,,,"ND00359"
20200611,"ND","RICHLAND","WAHPETON","BENEDICTINE LIVING CENTER","BASIC/ ASSISTED","ASSISTED LIVING","State",,,,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00023"
20200611,"ND","WARD","MINOT","ELM CROFT","ASSISTED LIVING FACILITY","ASSISTED LIVING","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00132"
20200611,"ND","CASS","FARGO","EVENTIDE ASSISTED LIVING","ASSISTED LIVING FACILITY","ASSISTED LIVING","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00137"
20200611,"ND","CASS","FARGO","GOOD SAMARITAN FARGO","BASIC / ASSISTED","ASSISTED LIVING","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND99901"
20200611,"ND","PIERCE","RUGBY","HAALAND MANOR","BASIC/ ASSISTED","ASSISTED LIVING","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00573"
20200611,"ND","NEW ROCKFORD",,"LUTHERAN HOME GOOD SHEPARD, HERITAGE HOUSE","UNCATEGORIZED LTC","NURSING HOME","Federal",,"355041",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND01035"
20200611,"ND","GRAND FORKS",,"MAPLE VIEW MEMORY CARE GRAND FORKS","OTHER","OTHER","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00605"
20200611,"ND","WATFORD CITY",,"MCKENZIE COUNTY HEALTH LONG TERM CARE","OTHER","OTHER","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00625"
20200611,"ND","ROLLA",,"PARKVIEW ASSISTED LIVING","ASSISTED LIVING FACILITY","ASSISTED LIVING","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00310"
20200611,"ND","HILLSBORO",,"SANFORD HILLSBORO CARE CENTER","BASIC/ ASSISTED","ASSISTED LIVING","State",,"355061",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00359"
20200618,"ND",,"WAHPETON","BENEDICTINE LIVING CENTER","OTHER","NURSING HOME","Federal",,"355064",,,,,"1",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,"ND00761"
20200618,"ND",,"FARGO","EVENTIDE ASSISTED LIVING","ASSISTED LIVING FACILITY","ASSISTED LIVING","State",," ",,,"OPEN",,"1",,,,"4",,,,,,,,"0",,,,"1",,,,,,,,,,,,"ND00137"
20200618,"ND",,"DEVILS LAKE","EVENTIDE HEARTLAND CARE CENTER","ASSISTED LIVING FACILITY","ASSISTED LIVING","State",," ",,,,,"0",,,,"1",,,,,,,,,,,,,,,,,,,,,,,,"ND00146"
20200618,"ND","NEW ROCKFORD",,"LUTHERAN HOME GOOD SHEPARD, HERITAGE HOUSE","ASSISTED LIVING FACILITY","NURSING HOME","Federal",,"355041",,,,,"3",,,,"1",,,,,,,,,,,,,,,,,,,,,,,,"ND01035"
20200618,"ND","WATFORD CITY",,"MCKENZIE COUNTY LONG TERM CARE","OTHER","OTHER","State",," ",,,,,"1",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,"ND00625"
20200625,"ND",,"WAHPETON","BENEDICTINE LIVING CENTER","OTHER","NURSING HOME","Federal",,"355064",,,,,"1",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,"ND00761"
20200625,"ND","RICHLAND","WAHPETON","BENEDICTINE LIVING CENTER","BASIC/ ASSISTED","ASSISTED LIVING","State",,"355064",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00023"
20200625,"ND","RANSOM","LISBON","BEVERLY ANNE ASSISTED LIVING CENTER","ASSISTED","NURSING HOME","Federal",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND99900"
20200625,"ND","WARD","MINOT","ELM CROFT","ASSISTED","ASSISTED LIVING","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00132"
20200625,"ND","CASS","FARGO","EVENTIDE ASSISTED LIVING","ASSISTED","ASSISTED LIVING","State",," ",,,"OPEN",,"1",,,,"4",,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00137"
20200625,"ND","RAMSEY","DEVILS LAKE","EVENTIDE HEARTLAND ASSISTED LIVING","ASSISTED","ASSISTED LIVING","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00141"
20200625,"ND",,"DEVILS LAKE","EVENTIDE HEARTLAND CARE CENTER","ASSISTED LIVING FACILITY","ASSISTED LIVING","State",," ",,,,,"0",,,,"1",,,,,,,,,,,,,,,,,,,,,,,,"ND00146"
20200625,"ND","CASS","FARGO","GOOD SAMARITAN FARGO","BASIC / ASSISTED","ASSISTED LIVING","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND99901"
20200625,"ND","PIERCE","RUGBY","HAALAND MANOR","BASIC/ ASSISTED","ASSISTED LIVING","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"1",,,,,,,,,,,,"ND00573"
20200625,"ND","NEW ROCKFORD",,"LUTHERAN HOME GOOD SHEPARD, HERITAGE HOUSE","SKILLED/ BASIC/ ASSISTED","NURSING HOME","Federal",,"355041",,,"OPEN",,"3",,,,"1",,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND01035"
20200625,"ND","GRAND FORKS",,"MAPLE VIEW MEMORY CARE GRAND FORKS","BASIC","OTHER","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00605"
20200625,"ND","WATFORD CITY",,"MCKENZIE COUNTY HEALTH LONG TERM CARE","BASIC","OTHER","State",," ",,,"OPEN",,"1",,,,"0",,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00625"
20200625,"ND","ROLLA",,"PARKVIEW ASSISTED LIVING","ASSISTED","ASSISTED LIVING","State",," ",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00310"
20200625,"ND","HILLSBORO",,"SANFORD HILLSBORO CARE CENTER","BASIC/ ASSISTED","ASSISTED LIVING","State",,"355061",,,"OPEN",,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,"ND00359"
20200625,"ND","CAVALIER",,"WEDGEWOOD MANOR","ASSISTED LIVING FACILITY","ASSISTED LIVING","State",,,,,,,"0",,,,"1",,,,,,,,,,,,,,,,,,,,,,,,"ND00440"
20200702,"ND",,"WAHPETON","BENEDICTINE LIVING CENTER","BASIC CARE","NURSING HOME","Federal",,"355064",,,,,"1",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,"ND00761"
20200702,"ND",,"FARGO","EVENTIDE ASSISTED LIVING","ASSISTED LIVING","ASSISTED LIVING","State",," ",,,,,"1",,,,"4",,,,,,,,,,,,,,,,,,,,,,,,"ND00137"
20200702,"ND",,"DEVILS LAKE","EVENTIDE HEARTLAND CARE CENTER","ASSISTED LIVING","ASSISTED LIVING","State",," ",,,,,"0",,,,"1",,,,,,,,,,,,,,,,,,,,,,,,"ND00146"
20200702,"ND","NEW ROCKFORD",,"LUTHERAN HOME GOOD SHEPARD, HERITAGE HOUSE","ASSISTED LIVING","NURSING HOME","Federal",,"355041",,,,,"3",,,,"1",,,,,,,,,,,,,,,,,,,,,,,,"ND01035"
