"date","state","county","city","facility_name","facility_type_state","ctp_facility_category","state_fed_regulated","state_facility_id","facility_cms_id","date_outbreak_opened","date_outreak_closed","outbreak_status","resident_census","resident_positives","resident_probable","resident_deaths","resident_probable_deaths","staff_positive","staff_probable","staff_deaths","staff_probable_deaths","resident_staff_positives","resident_staff_probable_positives","resident_staff_deaths","resident_staff_probable_deaths","outbreak_resident_positives","outbreak_resident_probable","outbreak_resident_deaths","outbreak_resident_probable_deaths","outbreak_staff_positive","outbreak_staff_probable","outbreak_staff_deaths","outbreak_staff_probable_deaths","outbreak_resident_staff_positives","outbreak_resident_staff_probable_positives","outbreak_resident_staff_deaths","outbreak_resident_staff_probable_deaths","outbreak_residents_tested","staff_tested","personal_protective_equipment"
20201014,"OH","Allen",,"Maple Crest","Assisted Living",,,,,,,,,"5",,,,"2",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Ashland",,"Brethren Care Village","Assisted Living",,,,,,,,,"0",,,,"5",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Ashland",,"McMullen Assisted Care","Assisted Living",,,,,,,,,"15",,,,"5",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Auglaize",,"Otterbein St  Mary's","Assisted Living",,,,,,,,,"35",,,,"28",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Butler",,"Barrington","Assisted Living",,,,,,,,,"1",,,,"3",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Butler",,"Bickford Senior Living Middletown","Assisted Living",,,,,,,,,"8",,,,"2",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Butler",,"Chesterwood-Ashley Place","Assisted Living",,,,,,,,,"0",,,,"1",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Butler",,"Doverwood-Ashley Place","Assisted Living",,,,,,,,,"0",,,,"2",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Butler",,"Fairfield Pavilion","Assisted Living",,,,,,,,,"0",,,,"1",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Butler",,"Fairfield Place","Assisted Living",,,,,,,,,"6",,,,"3",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Butler",,"MAJESTIC CARE (formerly Garden Manor)","Assisted Living",,,,,,,,,"0",,,,"1",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Butler",,"Otterbein Middletown","Assisted Living",,,,,,,,,"2",,,,"3",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Butler",,"Story Point","Assisted Living",,,,,,,,,"6",,,,"0",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Butler",,"TriCounty Extended Care aka Majestic Care","Assisted Living",,,,,,,,,"51",,,,"15",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Carroll",,"Centreville Village Assisted Living","Assisted Living",,,,,,,,,"1",,,,"0",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Clark",,"Forest Glen Health Campus","Assisted Living",,,,,,,,,"7",,,,"2",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Clark",,"Northwood","Assisted Living",,,,,,,,,"1",,,,"0",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Clark",,"Oakwood Village","Assisted Living",,,,,,,,,"2",,,,"0",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Clark",,"Ohio Masonic Home","Assisted Living",,,,,,,,,"1",,,,"1",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Clermont",,"Pinebrook Retirement Living-Assisted Living","Assisted Living",,,,,,,,,"1",,,,"0",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Columbiana",,"Brookdale Salem","Assisted Living",,,,,,,,,"12",,,,"3",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"ABERDEEN CROSSINGS","Assisted Living",,,,,,,,,"0",,,,"3",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"ANCORA MEMORY SUPPORT AT MOUNT ALVERNA","Assisted Living",,,,,,,,,"0",,,,"2",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"BEACHWOOD COMMONS","Assisted Living",,,,,,,,,"4",,,,"11",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"BROOKDALE WESTLAKE VILLAGE","Assisted Living",,,,,,,,,"0",,,,"3",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"BROOKDALE WESTLAKE VILLAGE CB","Assisted Living",,,,,,,,,"3",,,,"5",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"BROOKLYN POINTE ASSISTED LIVING","Assisted Living",,,,,,,,,"0",,,,"1",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"DANBURY SENIOR","Assisted Living",,,,,,,,,"25",,,,"14",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"DEVON OAKS ASSISTED LIVING","Assisted Living",,,,,,,,,"0",,,,"3",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"EAST PARK RETIREMENT ASSISTED LIVING","Assisted Living",,,,,,,,,"6",,,,"2",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"HAMLET AT CHAGRIN FALLS","Assisted Living",,,,,,,,,"5",,,,"3",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"HARBOR COURT","Assisted Living",,,,,,,,,"13",,,,"6",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"JENNINGS ASSISTED LIVING GARFIELD HTS","Assisted Living",,,,,,,,,"3",,,,"3",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"Judson Manor","Assisted Living",,,,,,,,,"0",,,,"2",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"LAKESIDE ASSISTED LIVING","Assisted Living",,,,,,,,,"0",,,,"2",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"MCGREGOR ASSISTED LIVING","Assisted Living",,,,,,,,,"6",,,,"4",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"MENORAH PARK WIGGINS PLACE","Assisted Living",,,,,,,,,"6",,,,"7",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"ONEILL HEALTHCARE LAKEWOOD ASSISTED LIVING","Assisted Living",,,,,,,,,"5",,,,"1",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"ONEILL HEALTHCARE N OLMSTED ASSISTED LIVING","Assisted Living",,,,,,,,,"3",,,,"3",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"PARK CREEK CENTER","Assisted Living",,,,,,,,,"4",,,,"0",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"SHAKER GARDENS","Assisted Living",,,,,,,,,"29",,,,"7",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"STONE GARDENS MENORAH PARK","Assisted Living",,,,,,,,,"17",,,,"7",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"THE FOUNTAINS ASSISTED LIVING","Assisted Living",,,,,,,,,"0",,,,"2",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"THE INN AT JOSHUA TREE","Assisted Living",,,,,,,,,"0",,,,"2",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"THE RENAISSANCE RETIREMENT CAMPUS","Assisted Living",,,,,,,,,"0",,,,"2",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"VISTA SPRINGS RAVINA","Assisted Living",,,,,,,,,"0",,,,"2",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"WINDSOR PLACE BEACHWOOD","Assisted Living",,,,,,,,,"0",,,,"1",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"WOODLANDS OF SHAKER HEIGHTS","Assisted Living",,,,,,,,,"0",,,,"2",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Cuyahoga",,"WOODSIDE SENIOR LIVING BEDFORD","Assisted Living",,,,,,,,,"0",,,,"6",,,,,,,,,,,,,,,,,,,,,,
20201014,"OH","Darke",,"Brethren Retirement Community","Assisted Living",,,,,,,,,"15",,,,"8",,,,,,,,,,,,,,,,,,,,,,
