"date","state","county","city","facility_name","facility_type_state","ctp_facility_category","state_fed_regulated","state_facility_id","facility_cms_id","date_outbreak_opened","date_outreak_closed","outbreak_status","resident_census","resident_positives","resident_probable","resident_deaths","resident_probable_deaths","staff_positive","staff_probable","staff_deaths","staff_probable_deaths","resident_staff_positives","resident_staff_probable_positives","resident_staff_deaths","resident_staff_probable_deaths","outbreak_resident_positives","outbreak_resident_probable","outbreak_resident_deaths","outbreak_resident_probable_deaths","outbreak_staff_positive","outbreak_staff_probable","outbreak_staff_deaths","outbreak_staff_probable_deaths","outbreak_resident_staff_positives","outbreak_resident_staff_probable_positives","outbreak_resident_staff_deaths","outbreak_resident_staff_probable_deaths","outbreak_residents_tested","staff_tested","personal_protective_equipment","last_recorded","ctp_id"
20201203,"WV","BRAXTON",,"BRAXTON HEALTH CARE CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515180",,,"OPEN",,"0",,,,"1",,,,,,"0",,"0",,,,"1",,,,,,"0",,,,,,"WV00004"
20201203,"WV","MARION",,"FAIRMONT HEALTHCARE AND REHABILITATION CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515189",,,"OPEN",,"0",,,,"1",,,,,,"0",,"0",,,,"1",,,,,,"0",,,,,,"WV00027"
20201203,"WV","BARBOUR",,"MANSFIELD PLACE","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515129",,,"OPEN",,"1",,,,"0",,,,,,"0",,"1",,,,"1",,,,,,"0",,,,,,"WV00055"
20201203,"WV","MC DOWELL",,"MCDOWELL NURSING AND REHABILITATION CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515162",,,"OPEN",,"0",,,,"3",,,,,,"0",,"0",,,,"3",,,,,,"0",,,,,,"WV00060"
20201210,"WV","BRAXTON",,"BRAXTON HEALTH CARE CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515180",,,"CLOSED",,"0",,,,"1",,,,,,"0",,"0",,,,"0",,,,,,"0",,,,,,"WV00004"
20201210,"WV","MARION",,"FAIRMONT HEALTHCARE AND REHABILITATION CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515189",,,"OPEN",,"0",,,,"2",,,,,,"0",,"0",,,,"2",,,,,,"0",,,,,,"WV00027"
20201210,"WV","BARBOUR",,"MANSFIELD PLACE","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515129",,,"OPEN",,"2",,,,"4",,,,,,"0",,"2",,,,"2",,,,,,"0",,,,,,"WV00055"
20201210,"WV","MC DOWELL",,"MCDOWELL NURSING AND REHABILITATION CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515162",,,"OPEN",,"0",,,,"4",,,,,,"0",,"0",,,,"1",,,,,,"0",,,,,,"WV00060"
20201210,"WV","HARRISON",,"UNITED TRANSITIONAL CARE CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515107",,,"OPEN",,"0",,,,"1",,,,,,"0",,"0",,,,"1",,,,,,"0",,,,,,"WV00126"
20201217,"WV","BRAXTON",,"BRAXTON HEALTH CARE CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515180",,,"CLOSED",,"0",,,,"1",,,,,,"0",,"0",,,,"0",,,,,,"0",,,,,,"WV00004"
20201217,"WV","MARION",,"FAIRMONT HEALTHCARE AND REHABILITATION CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515189",,,"OPEN",,"0",,,,"2",,,,,,"0",,"0",,,,"2",,,,,,"0",,,,,,"WV00027"
20201217,"WV","BARBOUR",,"MANSFIELD PLACE","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515129",,,"OPEN",,"2",,,,"4",,,,,,"0",,"2",,,,"2",,,,,,"0",,,,,,"WV00055"
20201217,"WV","MC DOWELL",,"MCDOWELL NURSING AND REHABILITATION CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515162",,,"OPEN",,"0",,,,"4",,,,,,"0",,"0",,,,"1",,,,,,"0",,,,,,"WV00060"
20201217,"WV","HARRISON",,"UNITED TRANSITIONAL CARE CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515107",,,"OPEN",,"0",,,,"1",,,,,,"0",,"0",,,,"1",,,,,,"0",,,,,,"WV00126"
20201224,"WV","BRAXTON",,"BRAXTON HEALTH CARE CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515180",,,"CLOSED",,"0",,,,"1",,,,,,"0",,"0",,,,"0",,,,,,"0",,,,,,"WV00004"
20201224,"WV","MARION",,"FAIRMONT HEALTHCARE AND REHABILITATION CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515189",,,"OPEN",,"0",,,,"4",,,,,,"0",,"0",,,,"4",,,,,,"0",,,,,,"WV00027"
20201224,"WV","BARBOUR",,"MANSFIELD PLACE","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515129",,,"OPEN",,"4",,,,"5",,,,,,"0",,"1",,,,"1",,,,,,"0",,,,,,"WV00055"
20201224,"WV","MC DOWELL",,"MCDOWELL NURSING AND REHABILITATION CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515162",,,"CLOSED",,"0",,,,"4",,,,,,"0",,"0",,,,"0",,,,,,"0",,,,,,"WV00060"
20201224,"WV","MONONGALIA",,"MORGANTOWN HEALTH AND REHABILITATION CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515049",,,"OPEN",,"0",,,,"1",,,,,,"0",,"0",,,,"1",,,,,,"0",,,,,,"WV00069"
20201224,"WV","JACKSON",,"RAVENSWOOD VILLAGE","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515177",,,"OPEN",,"16",,,,"3",,,,,,"0",,"16",,,,"3",,,,,,"0",,,,,,"WV00089"
20201224,"WV","HARRISON",,"UNITED TRANSITIONAL CARE CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515107",,,"OPEN",,"0",,,,"3",,,,,,"0",,"0",,,,"2",,,,,,"0",,,,,,"WV00126"
20201231,"WV","BRAXTON",,"BRAXTON HEALTH CARE CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515180",,,"CLOSED",,"0",,,,"1",,,,,,"0",,"0",,,,"0",,,,,,"0",,,,,,"WV00004"
20201231,"WV","LEWIS",,"CRESTVIEW MANOR NURSING AND REHABILITATION","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515160",,,"OPEN",,"0",,,,"1",,,,,,"0",,"0",,,,"1",,,,,,"0",,,,,,"WV00019"
20201231,"WV","MARION",,"FAIRMONT HEALTHCARE AND REHABILITATION CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515189",,,"OPEN",,"1",,,,"4",,,,,,"0",,"1",,,,"4",,,,,,"0",,,,,,"WV00027"
20201231,"WV","GREENBRIER",,"GREENBRIER HEALTH CARE CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515185",,,"OPEN",,"2",,,,"7",,,,,,"0",,"2",,,,"7",,,,,,"0",,,,,,"WV00034"
20201231,"WV","BARBOUR",,"MANSFIELD PLACE","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515129",,,"OPEN",,"4",,,,"6",,,,,,"0",,"1",,,,"2",,,,,,"0",,,,,,"WV00055"
20201231,"WV","MC DOWELL",,"MCDOWELL NURSING AND REHABILITATION CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515162",,,"OPEN",,"0",,,,"6",,,,,,"0",,"0",,,,"2",,,,,,"0",,,,,,"WV00060"
20201231,"WV","MONONGALIA",,"MORGANTOWN HEALTH AND REHABILITATION CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515049",,,"OPEN",,"0",,,,"2",,,,,,"0",,"0",,,,"2",,,,,,"0",,,,,,"WV00069"
20201231,"WV","JACKSON",,"RAVENSWOOD VILLAGE","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515177",,,"OPEN",,"21",,,,"9",,,,,,"1",,"18",,,,"9",,,,,,"1",,,,,,"WV00089"
20201231,"WV","UPSHUR",,"ST. JOSEPH'S HOSPITAL","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515051",,,"OPEN",,"0",,,,"2",,,,,,"0",,"0",,,,"2",,,,,,"0",,,,,,"WV00099"
20201231,"WV","HARRISON",,"UNITED TRANSITIONAL CARE CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515107",,,"OPEN",,"0",,,,"3",,,,,,"0",,"0",,,,"2",,,,,,"0",,,,,,"WV00126"
20210107,"WV","BRAXTON",,"BRAXTON HEALTH CARE CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515180",,,,,"0",,,,"1",,,,,,"0",,,,,,,,,,,,,,,,,,"WV00004"
20210107,"WV","LEWIS",,"CRESTVIEW MANOR NURSING AND REHABILITATION","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515160",,,,,"0",,,,"1",,,,,,"0",,,,,,,,,,,,,,,,,,"WV00019"
20210107,"WV","MARION",,"FAIRMONT HEALTHCARE AND REHABILITATION CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515189",,,,,"1",,,,"4",,,,,,"0",,,,,,,,,,,,,,,,,,"WV00027"
20210107,"WV","GREENBRIER",,"GREENBRIER HEALTH CARE CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515185",,,,,"2",,,,"7",,,,,,"0",,,,,,,,,,,,,,,,,,"WV00034"
20210107,"WV","BARBOUR",,"MANSFIELD PLACE","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515129",,,,,"4",,,,"6",,,,,,"0",,,,,,,,,,,,,,,,,,"WV00055"
20210107,"WV","MC DOWELL",,"MCDOWELL NURSING AND REHABILITATION CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515162",,,,,"0",,,,"6",,,,,,"0",,,,,,,,,,,,,,,,,,"WV00060"
20210107,"WV","MONONGALIA",,"MORGANTOWN HEALTH AND REHABILITATION CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515049",,,,,"0",,,,"2",,,,,,"0",,,,,,,,,,,,,,,,,,"WV00069"
20210107,"WV","JACKSON",,"RAVENSWOOD VILLAGE","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515177",,,,,"21",,,,"9",,,,,,"1",,,,,,,,,,,,,,,,,,"WV00089"
20210107,"WV","UPSHUR",,"ST. JOSEPH'S HOSPITAL","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515051",,,,,"0",,,,"2",,,,,,"0",,,,,,,,,,,,,,,,,,"WV00099"
20210107,"WV","HARRISON",,"UNITED TRANSITIONAL CARE CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515107",,,,,"0",,,,"3",,,,,,"0",,,,,,,,,,,,,,,,,,"WV00126"
20210114,"WV","BRAXTON",,"BRAXTON HEALTH CARE CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515180",,,"OPEN",,"0",,,,"2",,,,,,"0",,"0",,,,"1",,,,,,"0",,,,,,"WV00004"
20210114,"WV","LEWIS",,"CRESTVIEW MANOR NURSING AND REHABILITATION","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515160",,,"OPEN",,"4",,,,"5",,,,,,"0",,"3",,,,"3",,,,,,"0",,,,,,"WV00019"
20210114,"WV","MARION",,"FAIRMONT HEALTHCARE AND REHABILITATION CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515189",,,"OPEN",,"3",,,,"6",,,,,,"0",,"3",,,,"6",,,,,,"0",,,,,,"WV00027"
20210114,"WV","GREENBRIER",,"GREENBRIER HEALTH CARE CENTER","UNCATEGORIZED LTC","NURSING HOME","Federal",,"515185",,,"OPEN",,"16",,,,"12",,,,,,"1",,"9",,,,"5",,,,,,"1",,,,,,"WV00034"
