"date","state","county","city","facility_name","facility_type_state","ctp_facility_category","state_fed_regulated","state_facility_id","facility_cms_id","date_outbreak_opened","date_outreak_closed","outbreak_status","resident_census","resident_positives","resident_probable","resident_deaths","resident_probable_deaths","staff_positive","staff_probable","staff_deaths","staff_probable_deaths","resident_staff_positives","resident_staff_probable_positives","resident_staff_deaths","resident_staff_probable_deaths","outbreak_resident_positives","outbreak_resident_probable","outbreak_resident_deaths","outbreak_resident_probable_deaths","outbreak_staff_positive","outbreak_staff_probable","outbreak_staff_deaths","outbreak_staff_probable_deaths","outbreak_resident_staff_positives","outbreak_resident_staff_probable_positives","outbreak_resident_staff_deaths","outbreak_resident_staff_probable_deaths","outbreak_residents_tested","staff_tested","personal_protective_equipment"
20201015,"WY","Natrona",,"Casper Mountain Rehab","Nursing Home","Nursing Home",,,,,,"Open",,,,,,,,,,,,,,"2",,,,"2",,,,,,,,,,
20201022,"WY","Natrona",,"Casper Mountain Rehab","Nursing Home","Nursing Home",,,,,,"Open",,,,,,,,,,,,,,"2",,,,"2",,,,,,,,,,
20201022,"WY","Natrona",,"Casper Mountain Rehab","Nursing Home","Nursing Home",,,,,,"Open",,,,,,,,,,,,,,"6",,,,"3",,,,,,,,,,
20201029,"WY","Natrona",,"Casper Mountain Rehab","Nursing Home","Nursing Home",,,,,,"Open",,,,,,,,,,,,,,"6",,,,"3",,,,,,,,,,
20201112,"WY","Natrona",,"Casper Mountain Rehab","Nursing Home","Nursing Home",,,,,,"Open",,,,,,,,,,,,,,"79",,"10",,"48",,,,,,,,,,
20201022,"WY","Laramie",,"Cheyenne Healthcare Center","Nursing Home","Nursing Home",,,,,,"Open",,,,,,,,,,,,,,"2",,,,,,,,,,,,,,
20201029,"WY","Laramie",,"Cheyenne Healthcare Center","Nursing Home","Nursing Home",,,,,,"Open",,,,,,,,,,,,,,"2",,,,,,,,,,,,,,
20201112,"WY","Laramie",,"Cheyenne Healthcare Center","Nursing Home","Nursing Home",,,,,,"Open",,,,,,,,,,,,,,"2",,,,"5",,,,,,,,,,
20201112,"WY","Crook",,"Crook County Nursing Home","Nursing Home","Nursing Home",,,,,,"Open",,,,,,,,,,,,,,"27",,"1",,"52",,,,,,,,,,
20201008,"WY","Converse",,"Douglas Care Center","Nursing Home","Nursing Home",,,,,,"Open",,,,,,,,,,,,,,"1",,,,"2",,,,,,,,,,
20201015,"WY","Converse",,"Douglas Care Center","Nursing Home","Nursing Home",,,,,,"Open",,,,,,,,,,,,,,"1",,,,"7",,,,,,,,,,
